Label,Sample,Side,Scan,Ra,Rms,unk1,unk2,unk3,Power (C1),Scan Speed (C1),Power (C2),Scan Speed (C2),Power (Fill),Scan Speed (Fill),Layer Thickness,Build Orientation,Scan Strategy,Spot Size,Stress Mean,Stress ratio,Fatigue life
,,,,(um),(um),,,,(W),(mm/s),(W),(mm/s),(W),(mm/s),(um),(°),-,(um),MPa,R,(cycles)
P4,C,1,1,20.22,28.54,0.0034,0.5529,87.53,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,11131
P4,C,1,2,18.13,25.29,0.0035,0.5844,72.38,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,11131
P4,C,1,3,18.698,24.724,0.0036,0.5836,71.051,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,11131
P4,C,2,1,18.62,24.259,0.0038,0.5588,66.674,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,11131
P4,C,2,2,20.637,28.538,0.0034,0.5043,102.32,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,11131
P4,C,2,3,23.99,31.209,0.0035,0.5027,83.286,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,11131
P4,C,3,1,43.542,55.873,0.0034,0.3172,143.23,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,11131
P4,C,4,1,35.492,44.421,0.0039,0.458,190.86,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,11131
P5,A,1,1,19.93,28.66,-,-,-,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,48291
P5,A,1,2,17.22,23.2,0.0037,0.6158,66.53,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,48291
P5,A,1,3,19.57,26.11,0.0035,0.5722,70.42,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,48291
P5,A,2,1,22.32,30.43,0.0034,0.5174,72.9,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,48291
P5,A,2,2,21.35,28.31,0.0037,0.4915,81.96,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,48291
P5,A,2,3,20.83,28.56,0.0035,0.528,91.97,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,48291
P5,A,3,1,32.76,51.4,0.003,0.3319,222.23,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,48291
P5,A,4,1,47.24,62.16,0.0035,0.382,243.68,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,48291
P5,B,1,1,15.84,21.67,0.0037,0.6236,68.14,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,63123
P5,B,1,2,18.54,24.97,0.0038,0.6229,61.59,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,63123
P5,B,1,3,21.77,31.04,0.0033,0.5501,67.99,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,63123
P5,B,2,1,26.31,35.99,0.0034,0.4603,96.11,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,63123
P5,B,2,2,24.5,33.82,0.0034,0.4497,115.11,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,63123
P5,B,2,3,23.02,30.1,0.0035,0.511,80.8,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,63123
P5,B,3,1,46.33,63.13,0.0031,0.3009,204.12,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,63123
P5,B,4,1,45.81,57.87,0.0037,0.499,230.45,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,63123
P5,C,1,1,16.86,24.53,0.0035,0.5896,98.98,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,38063
P5,C,1,2,24.63,34.47,0.0033,0.5201,88.65,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,38063
